Language,Voicing and Gaps in Plosive Systems,Voicing in Plosives and Fricatives,Uvular Consonants,Presence of Uncommon Consonants,Lateral Consonants,Glottalized Consonants,"Consonant Inventories
", Vowel Quality Inventories,Front Rounded Vowels,Syllable Structure,Família,Gènere
Bajau (Sama),2,2,1,1,1,1,4,2,1,2,Austronesian,Sama-Bajaw	
Bakairí,2,4,1,1,1,1,2,3,1,1,Cariban,Cariban
Bambara,2,4,1,1,1,1,3,3,1,1,Mande,Western Mande	
Bandjalang (Yugumbir),1,1,1,1,1,1,1,1,1,2,Pama-Nyungan,Southeastern Pama-Nyungan	
Bardi,1,1,1,1,1,1,2,1,1,3,Nyulnyulan,Nyulnyulan
Bashkir,2,4,3,2,1,1,4,3,2,3,Altaic,Turkic
Basque,2,2,1,1,1,1,3,2,1,3,Basque,Basque
Batak (Karo),2,2,1,1,1,1,2,3,1,2,Austronesian,Northwest Sumatra-Barrier Islands	
Bawm,5,4,1,1,1,1,3,2,1,2,Sino-Tibetan	,Kuki-Chin	
Beembe,1,3,1,1,1,1,2,2,1,2,Niger-Congo	,Bantu
Beja,4,2,1,1,1,1,3,2,1,3,Afro-Asiatic	,Beja
Bella Coola,1,1,3,1,1,3,4,1,1,3,Salishan,Bella Coola
Bengali,2,2,1,1,1,1,4,3,1,3,Indo-European	,Indic
Berber (Middle Atlas),4,4,2,4,1,1,4,1,1,3,Afro-Asiatic,Berber
Berta,1,1,1,2,1,3,3,2,1,2,Berta,Berta
Bété,2,4,1,3,1,4,3,3,1,2,Niger-Congo,Kru
Birom,2,4,1,3,1,1,3,3,1,2,Niger-Congo,Benue-Congo Plateau
Bisa,2,4,1,1,1,1,2,2,1,2,Mande,Eastern Mande
Bobo Madar� (Northern),2,4,1,3,1,1,3,3,1,1,Mande,Western Mande
Bodo,2,4,1,1,1,1,2,2,1,2,Sino-Tibetan,Brahmaputran
Bororo,2,2,1,1,5,1,1,3,1,1,Bororoan,Bororoan
Brahui,2,4,1,1,1,1,3,2,1,3,Dravidian,Dravidian
Brao,1,1,1,4,1,4,3,3,1,3,Austro-Asiatic,Bahnaric
Breton,2,4,1,1,1,1,3,3,2,3,Indo-European,Celtic
Bru (Western),5,2,1,1,1,1,3,3,1,3,Austro-Asiatic,Katuic
Bulgarian,2,4,1,1,1,1,3,2,1,3,Indo-European,Slavic
Burarra,1,1,1,1,1,1,2,2,1,3,Mangrida,Burarran
Burmese,2,4,1,2,1,1,4,3,1,2,Sino-Tibetan,Burmese-Lolo
Burushaski,2,4,3,1,1,1,5,2,1,3,Burushaski,Burushaski
Cacua,1,1,1,1,1,1,1,2,1,2,Cacua-Nukak,Cacua-Nukak
Caddo,5,2,1,1,5,3,3,1,1,2,Caddoan,Caddo
Cahuilla,1,1,3,1,1,1,3,1,1,3,Uto-Aztecan,Northern Uto-Aztecan
Campa (Axininca),1,1,1,1,5,1,2,1,1,2,Arawakan,Pre-Andine Arawakan
Camsá,2,2,1,1,1,1,3,2,1,3,Camsá,Camsá
Canela,1,1,1,1,1,1,1,3,1,3,Macro-Ge,Je Setentrional
Cantonese,1,1,1,1,1,1,3,3,2,2,Sino-Tibetan,Chinese
Carib,2,2,1,1,5,1,2,2,1,2,Cariban,Cariban
Catalan,2,4,1,1,1,1,3,3,1,2,Indo-European,Romance
Cayapa,2,2,1,1,1,1,3,1,1,1,Barbacoan,Barbacoan
Chamorro,2,2,1,1,1,1,3,2,1,2,Austronesian,Chamorro
Cham (Western),1,1,1,1,1,4,3,3,1,3,Austronesian,Malayo-Sumbawan
Chehalis (Upper),1,1,3,1,1,3,4,1,1,3,Salishan,Tsamosan
Cherokee,1,1,1,1,1,1,1,2,1,2,Iroquoian,Southern Iroquoian
Chickasaw,1,2,1,1,3,1,2,1,1,2,Muskogean,Muskogean
Chinantec (Lealao),2,2,1,1,1,1,3,2,1,2,Oto-Manguean,Chinantecan
Chinantec (Quiotepec),1,3,1,2,1,8,4,3,2,1,Oto-Manguean,Chinantecan
Chin (Tiddim),2,4,1,1,1,8,3,2,1,2,Sino-Tibetan,Kuki-Chin
Chipewyan,1,3,1,2,3,3,5,2,1,2,Na-Dene,Athapaskan
Chukchi,1,1,2,1,4,1,2,2,1,3,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan
Chuvash,2,4,1,1,1,1,3,3,2,3,Altaic,Turkic
CiLuba,5,4,1,1,1,1,3,2,1,2,Niger-Congo,Bantu
Cocopa,1,1,1,1,3,1,3,1,1,3,Hokan,Yuman
Comanche,1,1,1,1,5,1,1,2,1,2,Uto-Aztecan,Northern Uto-Aztecan
Coos (Hanis),2,2,3,1,3,3,5,2,1,3,Oregon Coast,Coosan
Cree (Plains),1,1,1,1,5,1,1,1,1,2,Algic,Algonquian
Cubeo,5,2,1,2,5,1,1,2,1,1,Tucanoan,Tucanoan
Dadibi,1,1,1,1,5,1,1,2,1,2,Teberan-Pawaian,Teberan
Daga,2,2,1,1,5,1,1,2,1,2,Trans-New Guinea,Daga
Dagbani,2,4,1,3,1,1,3,2,1,2,Niger-Congo,Oti-Volta
Dagur,2,4,1,1,1,1,3,3,3,3,Altaic,Mongolic
Daju (Dar Fur),2,2,4,1,1,4,3,2,1,2,Eastern Sudanic,Daju
Dan,2,4,1,3,1,4,3,3,1,2,Mande,Eastern Mande
Dangaléat (Western),2,4,1,1,1,4,3,3,1,2,Afro-Asiatic,East Chadic
Dani (Lower Grand Valley),1,1,1,1,1,1,1,3,1,2,Trans-New Guinea,Dani
Darai,2,2,1,1,1,1,4,2,1,2,Indo-European,Indic
Deti,2,2,1,5,5,5,5,2,1,2,Khoe-Kwadi,Khoe-Kwadi
Dinka,2,2,1,1,1,1,3,3,1,2,Eastern Sudanic,Western Nilotic
Diola-Fogny,2,2,1,1,1,1,3,3,1,3,Niger-Congo,Jola
Diyari,1,1,1,1,1,1,3,1,1,2,Pama-Nyungan,Central Pama-Nyungan
Dizi,4,4,1,1,1,3,3,2,1,3,Afro-Asiatic,Dizoid
Djapu,1,1,1,1,1,1,3,1,1,3,Pama-Nyungan,Western Pama-Nyungan
Dla (Proper),2,2,1,1,5,1,1,2,1,2,Senagi,Senagi
Dong (Southern),1,1,4,1,1,1,3,3,1,2,Tai-Kadai,Kam-Tai
Doyayo,2,4,1,3,1,4,3,3,1,3,Niger-Congo,Samba-Duru
Drehu,2,4,1,2,1,1,4,3,1,2,Austronesian,Oceanic
Dyirbal,1,1,1,1,1,1,1,1,1,2,Pama-Nyungan,Northern Pama-Nyungan
Efik,3,2,1,3,5,1,1,3,1,2,Niger-Congo,Lower Cross
Ejagham,2,2,1,3,5,1,3,3,3,2,Niger-Congo,Ekoid-Mbe
Ekari,5,1,1,1,2,1,1,2,1,1,Trans-New Guinea,Paniai Lakes
English,2,4,1,2,1,1,3,3,1,3,Indo-European,Germanic
Epena Pedee,2,2,1,1,5,1,2,3,1,2,Choco,Choco
Evenki,2,2,1,1,1,1,2,2,1,2,Altaic,Tungusic
Ewe,2,4,1,3,1,1,4,3,1,2,Niger-Congo,Gbe
Ewondo,4,4,1,3,1,1,4,3,1,2,Niger-Congo,Bantu
Eyak,1,2,3,1,3,3,4,1,1,3,Na-Dene,Eyak
Fasu,1,1,1,1,5,1,1,2,1,1,Trans-New Guinea,Fasu
Fe'fe',4,4,1,1,5,1,2,3,1,2,Niger-Congo,Wide Grassfields
Fijian,1,1,1,2,1,1,3,2,1,1,Austronesian,Oceanic
Finnish,2,4,1,1,1,1,2,3,2,2,Uralic,Finnic
French,2,4,4,1,1,1,3,3,2,3,Indo-European,Romance
Fulniô,1,4,1,1,1,1,3,3,1,3,Fulniô,Fulniô
Fur,4,2,1,1,1,1,2,2,1,2,Fur,Fur
Fuzhou,1,1,1,1,1,1,1,3,2,2,Sino-Tibetan,Chinese
Fyem,1,3,1,1,1,4,5,2,1,2,Niger-Congo,Benue-Congo Plateau
Ga,2,4,1,3,1,1,4,3,1,2,Niger-Congo,Ga-Dangme
Gadsup,1,1,1,1,5,1,1,1,1,2,Trans-New Guinea,Gauwa
Garo,2,2,1,1,5,1,2,2,1,2,Sino-Tibetan,Brahmaputran
Garrwa,1,1,1,1,1,1,3,1,1,2,Garrwan,Garrwan
Gbeya Bossangoa,2,4,1,3,1,4,4,3,1,2,Niger-Congo,Gbaya-Manza-Ngbaka
Gelao,1,3,2,1,1,1,4,3,1,2,Tai-Kadai,Kadai
Georgian,1,4,3,1,2,3,4,2,1,3,Kartvelian,Kartvelian
German,2,4,4,1,1,1,3,3,2,3,Indo-European,Germanic
Gooniyandi,1,1,1,1,1,1,3,1,1,2,Bunuban,Bunuban
Great Andamanese,2,2,1,1,2,1,3,3,1,2,Great Andamanese,Great Andamanese
Grebo,2,2,1,3,1,1,3,3,1,1,Niger-Congo,Kru
Greek (Modern),2,4,1,2,1,1,3,2,1,3,Indo-European,Greek
Greenlandic (West),1,3,3,1,3,1,3,1,1,2,Eskimo-Aleut,Eskimo
Guambiano,1,1,1,1,1,1,2,2,1,2,Barbacoan,Barbacoan
Guaraní,1,3,1,1,1,1,2,2,1,1,Tupian,Maweti-Guarani
Gwari,2,4,1,3,1,4,3,2,1,3,Niger-Congo,Nupoid
Hadza,2,2,1,5,3,3,5,2,1,1,Hadza,Hadza
Haida,1,1,3,1,3,2,5,1,1,3,Haida,Haida
Hakka,1,1,1,1,1,1,2,2,1,2,Sino-Tibetan,Chinese
Hamer,2,4,2,1,1,5,3,2,1,2,Afro-Asiatic,South Omotic
Hamtai,1,1,2,1,5,1,1,3,1,3,Trans-New Guinea,Nuclear Angan
Hausa,4,4,1,1,1,5,4,2,1,2,Afro-Asiatic,West Chadic
Hawaiian,1,1,1,1,1,1,1,2,1,1,Austronesian,Oceanic
Hebrew (Modern Ashkenazic),2,2,4,1,1,1,2,2,1,3,Afro-Asiatic,Semitic
Hindi,2,4,1,1,1,1,5,2,1,3,Indo-European,Indic
Hixkaryana,5,2,1,1,2,1,2,2,1,2,Cariban,Cariban
Hmong Njua,1,1,2,1,1,1,5,2,1,2,Hmong-Mien,Hmongic
Hopi,1,1,2,1,5,1,3,2,4,3,Uto-Aztecan,Northern Uto-Aztecan
Huastec,1,1,1,2,1,3,3,2,1,2,Mayan,Mayan
Huave (San Mateo del Mar),5,2,1,2,1,1,3,2,1,2,Huavean,Huavean
Huitoto (Murui),4,4,1,2,5,1,2,2,1,1,Witotoan,Witoto
Hungarian,2,4,1,1,1,1,4,3,2,3,Uralic,Ugric
Hunzib,2,4,3,4,3,3,5,3,1,2,Nakh-Daghestanian,Avar-Andic-Tsezic
Hupa,1,1,2,1,3,3,4,1,1,3,Na-Dene,Athapaskan
Iaai,2,4,1,2,2,1,5,3,2,2,Austronesian,Oceanic
Iban,2,2,1,1,1,1,3,2,1,2,Austronesian,Malayo-Sumbawan
Igbo,2,4,1,3,1,1,4,3,1,1,Niger-Congo,Igboid
Ijo (Kolokuma),2,4,1,3,1,1,3,3,1,1,Ijoid,Ijoid
Ik,2,4,1,1,1,5,4,3,1,3,Eastern Sudanic,Kuliak
Ika,2,2,1,1,5,1,2,3,1,2,Chibchan,Arhuacic
Imonda,1,1,1,1,1,1,1,3,1,3,Border,Border
Indonesian,2,4,1,1,1,1,3,2,1,3,Austronesian,Malayo-Sumbawan	
Ingessana,2,2,1,2,1,1,3,2,1,2,Eastern Sudanic,Eastern Jebel
Ingush,2,4,3,4,1,3,5,2,1,3,Nakh-Daghestanian,Nakh
Iranxe,5,2,1,1,1,1,3,2,1,2,Iranxe,Iranxe
Iraqw,2,2,2,4,3,5,4,2,1,2,Afro-Asiatic,Southern Cushitic
Irarutu,1,1,1,1,5,1,1,3,1,2,Austronesian,South Halmahera - West New Guinea
Irish (Donegal),2,4,1,1,1,1,5,2,1,3,Indo-European,Celtic
Isoko,2,4,1,3,1,1,4,3,1,2,Niger-Congo,Edoid
Itelmen,1,3,3,1,3,3,4,2,1,3,Chukotko-Kamchatkan,Southern Chukotko-Kamchatkan
Itonama,5,2,1,1,1,3,3,2,1,2,Itonama,Itonama
Ivatan,2,2,1,1,1,1,3,1,1,2,Austronesian,Batanic
Jakaltek,1,1,3,1,1,3,4,2,1,2,Mayan,Mayan
Japanese,2,4,4,1,5,1,2,2,1,2,Japanese,Japanese
Japreria,1,2,1,1,2,1,1,2,1,2,Cariban,Cariban
Jaqaru,1,1,2,1,1,3,5,1,1,2,Aymaran,Aymaran
Jebero,1,1,1,1,1,2,3,1,1,2,Cahuapanan,Cahuapanan
Jeh,2,2,1,1,1,4,5,3,1,3,Austro-Asiatic,Bahnaric
Jingpho,2,2,1,1,1,1,3,2,1,2,Sino-Tibetan,Brahmaputran
Jomang,1,1,1,1,5,1,1,3,1,2,Kordofanian,Talodi
Ju|'hoan,2,4,1,5,1,3,5,2,1,1,Kxa,Ju-Kung
Kadugli,2,4,1,1,1,4,3,2,1,2,Kadu,Kadugli
Kaingang,1,1,1,1,5,1,1,3,1,2,Macro-Ge,Je Meridional
Kala Lagaw Ya,2,4,1,1,1,1,2,2,1,3,Pama-Nyungan,Northern Pama-Nyungan
Kalami,2,4,2,1,3,1,5,2,1,2,Indo-European,Indic
Kalkatungu,1,1,1,1,1,1,3,1,1,2,Pama-Nyungan,Northern Pama-Nyungan
Kanakuru,2,2,1,1,3,4,3,2,1,2,Afro-Asiatic,West Chadic
Kannada,2,2,1,1,1,1,4,2,1,3,Dravidian,Dravidian
Kanuri,4,4,1,1,1,1,3,3,1,2,Saharan,Western Saharan
Karen (Sgaw),1,3,1,2,1,4,4,3,1,2,Sino-Tibetan,Karen
Kayah Li (Eastern),5,2,1,1,1,1,3,3,1,2,Sino-Tibetan,Karen
Kayardild,1,1,1,1,1,1,2,1,1,2,Tangkic,Tangkic
Kedang,2,2,1,1,1,1,2,2,1,2,Austronesian,Central Malayo-Polynesian
Kefa,2,2,1,1,1,3,3,2,1,2,Afro-Asiatic,Ta-Ne-Omotic
Kera,2,4,1,1,1,4,3,2,1,2,Afro-Asiatic,East Chadic
Ket,3,2,2,1,2,1,2,3,1,3,Yeniseian,Yeniseian
Kewa,1,1,1,1,2,1,2,2,1,1,Trans-New Guinea,Enga_Kewa-Huli
Khanty,1,1,1,1,1,1,2,2,1,2,Uralic,Ugric
Kharia,2,2,1,1,1,1,4,2,1,2,Austro-Asiatic,Munda
Khasi,5,2,1,1,1,1,3,2,1,3,Austro-Asiatic,Khasian
Khmer,1,1,1,1,2,4,3,3,1,3,Austro-Asiatic,Khmer
Khmu',1,1,1,1,1,7,3,3,1,3,Austro-Asiatic,Khmuic
Kilivila,2,2,1,1,1,1,3,2,1,2,Austronesian,Oceanic
Kiowa,2,2,1,1,4,3,3,2,1,2,Kiowa-Tanoan,Kiowa-Tanoan
Kirghiz,2,4,2,1,1,1,3,3,2,3,Altaic,Turkic
Kiribati,1,1,1,1,5,1,1,2,1,2,Austronesian,Oceanic
Kisi (Southern),1,1,1,3,1,4,2,3,1,2,Niger-Congo,Southern Mel
Kiwai (Southern),2,2,1,1,5,1,1,2,1,1,Trans-New Guinea,Kiwaian
Klamath,2,2,2,1,1,2,4,1,1,3,Penutian,Klamath-Modoc
Klao,5,2,1,3,5,1,1,3,1,1,Niger-Congo,Kru
Koasati,1,2,1,1,3,1,1,1,1,2,Muskogean,Muskogean
Kobon,1,1,1,1,1,1,3,3,1,2,Trans-New Guinea,Kalam-Kobon
Koiari,4,2,1,1,1,1,1,2,1,1,Trans-New Guinea,Koiarian
Komi-Zyrian,2,4,1,1,1,1,4,3,1,3,Uralic,Permic
Komo,2,2,1,1,1,5,3,3,1,2,Koman,Koman
Korean,1,1,1,1,1,3,3,3,1,2,Korean,Korean
Koromfe,2,4,1,1,1,1,2,3,1,2,Niger-Congo,Koromfe
Koryak,1,1,2,1,1,1,2,2,1,3,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan
Kota,2,2,1,1,1,1,3,2,1,3,Dravidian,Dravidian
Kotoko,2,2,1,3,1,5,4,3,1,3,Afro-Asiatic,Biu-Mandara
Koya,2,2,1,1,1,1,3,2,1,3,Dravidian,Dravidian
Koyra Chiini,4,2,1,1,1,1,2,2,1,2,Songhay,Songhay
Kpan,2,4,1,3,5,1,3,2,1,3,Niger-Congo,Jukunoid
Kpelle,2,4,1,3,1,4,3,3,1,2,Mande,Western Mande
Krongo,1,1,1,1,1,4,3,3,1,2,Kadu,Kadugli
Kuku-Yalanji,1,1,1,1,1,1,1,1,1,2,Pama-Nyungan,Northern Pama-Nyungan
Kullo,4,2,1,1,1,5,3,2,1,2,Afro-Asiatic,Ta-Ne-Omotic
Kuna,2,2,1,1,1,1,2,2,1,2,Chibchan,Kuna
Kunama,4,2,1,1,1,1,3,2,1,2,Kunama,Kunama
Kunimaipa,2,4,2,1,1,1,2,2,1,2,Trans-New Guinea,Core Goilalan
Kurdish (Central),2,4,2,4,1,1,4,3,1,3,Indo-European,Iranian
Kutenai,1,1,3,1,4,2,4,1,1,3,Kutenai,Kutenai
Kwaio,1,1,1,1,1,1,2,2,1,1,Austronesian,Oceanic
Kwakw'ala,2,2,3,1,3,2,5,2,1,3,Wakashan,Northern Wakashan
Kwoma,1,3,1,1,5,1,3,3,1,2,Sepik,Nukuma
Ladakhi,2,4,1,1,1,1,4,2,1,3,Sino-Tibetan,Bodic
Lahu,2,4,2,1,1,1,4,3,1,2,Sino-Tibetan,Burmese-Lolo
Lak,2,4,3,4,1,3,5,1,1,3,Nakh-Daghestanian,Lak
Lakhota,1,3,1,1,1,3,3,2,1,3,Siouan,Mississippi Valley Siouan
Lakkia,1,1,1,2,1,4,4,2,1,2,Tai-Kadai,Kadai
